,,,,,,,,,,
Dream Service Software,,Current,,Comments, Option 1 (3 Year Reserved),,Comments,Rackspace,,Comments
,Servers,,,,,,,,,
,,Azure - IIS Ddsv4 Series Windows,$355.62,"Standard D4ds v4 (4 vcpus, 16 GiB memory)",Azure - IIS Ddsv4 Series Windows,$400.00,"8 vCPUs, 32 GB RAM",IIS ,$725.00,8 Core - 96 GB RAM
,,Azure - SQL,$555.00,"Standard B12ms (12 vcpus, 48 GiB memory)",Azure - SQL BS Series Windows B12ms,$422.94,"8 vCPUs, 32 GB RAM",SQL,$800.00,8 Core - 96 GB RAM
,,Azure App Service,$75.00,Report Scheduler,Azure App Service,$75.00,Report Scheduler,Azure App Service,$75.00,Report Scheduler
,,IP Addresses,$6.00,,IP Addresses,$6.00,,IP Addresses,$0.00,
,,Standard HDD Managed Disks S30,$42.00,Backup Disk,Standard HDD Managed Disks S30,$42.00,Backup Disk,Standard HDD Managed Disks S30,$0.00,
,,Standard SSD Managed Disks E30,$153.00,SQL & IIS data Disk,Standard SSD Managed Disks E30,$153.00,SQL & IIS data Disk,Standard SSD Managed Disks E30,$0.00,
,,Standard SSD Managed Disks,$22.00,SQL Temp DB Disk,Standard SSD Managed Disks,$22.00,,Standard SSD Managed Disks,$0.00,
,,Premium SSD Managed Disks P15,$70.00,SQL Log Disk ,Premium SSD Managed Disks P15,$70.00,SQL Log Disk ,Premium SSD Managed Disks P15,$0.00,
,,Premium SSD Managed Disks P10,$36.00,SQL & IIS  OS Disk,Premium SSD Managed Disks P10,$36.00,SQL & IIS  OS Disk,Premium SSD Managed Disks P10,$0.00,
,,SQL Server in Azure VM Protected Instances,30,SQL backup service and Storage,SQL Server in Azure VM Protected Instances,30,SQL backup service and Storage,SQL Server in Azure VM Protected Instances,0,
,,Backup & Management ,315.48,SQL backup service and Storage,Backup & Management ,315.48,SQL backup service and Storage,Backup & Management ,0,
,,Support,100,,Support,100,,Support,0,
,,,,,,,,,,
,,SendGrid - Email,$265.44,,AWS - Form Builder & Route Opt,$400.00,,AWS - Form Builder & Route Opt,$400.00,
,,AWS - Form Builder & Route Opt,$400.00,,SendGrid - Email,$265.44,,SendGrid - Email,$265.44,
,,Plivo - Text Msg,$125.00,,Plivo - Text Msg,$125.00,,Plivo - Text Msg,$125.00,
,Third Party Service,,,,,,,,,
,,,,,,,,,,
,,,"$2,550.54",,,"$2,462.86",,Total,"$2,390.44",
,,,,,,,,Firewall,$250.00,
,,,,,,,,Total With Firewall,"$2,640.44",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quacito,,,,,,,,,,
,Server,,,,,,,,,
,,Rackspace,"$1,381.48",,Windows 2012 and 2012 R2 - EOL Date of 10/9/2023 ,,,,,
,,Azure PHP Server,$126.00,,,,,,,
,,Azure Contrack Server,$87.00,,,,,,,
,,Lease Web Server,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Third Party Service,,,,,,,,,
,,Twilio  - Text Msg,$25.00,,,,,,,
,,Google - MAP APIs,$300.00,,,,,,,
,,pdfcrowd,$239.20,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,"$7,259.76",,,,,,,